"co_pcdt","sg_procedimentoa","sg_procedimentob","qt_cns_paciente","sg_procedimentob2"
53,LEUP375,TRIP375,78,TRIP375
54,AZAT50,ALFA4000,569,ALFA4000
54,AZAT50,CICLOSP100,372,CICLOSP100
54,AZAT50,CLOR150,593,CLOR150
54,AZAT50,HIDR400,17222,HIDR400
54,AZAT50,LEFL20,375,LEFL20
54,AZAT50,METO25,1000,METO25
54,CLOR150,HIDR400,465,HIDR400
54,HIDR400,AZAT50,3097,AZAT50
54,HIDR400,METO25,3384,METO25
54,METO25,HIDR400,913,HIDR400
55,AZAT50,CICLOSP50,43,CICLOSP50
55,AZAT50,IMUN50,195,IMUN50
55,AZAT50,PIRI60,1584,PIRI60
55,CICLOSP50,PIRI60,54,PIRI60
55,IMUN50,AZAT50,317,AZAT50
55,IMUN50,PIRI60,172,PIRI60
55,PIRI60,AZAT50,515,AZAT50
55,PIRI60,CICLOSP100,38,CICLOSP100
55,PIRI60,CICLOSP50,73,CICLOSP50
55,PIRI60,IMUN50,128,IMUN50
56,FILG300,ALFA10000,141,ALFA10000
56,FILG300,ALFA2180,77,ALFA2180
56,FILG300,ALFA4000,140,ALFA4000
56,FILG300,CICLOSP100,78,CICLOSP100
56,FILG300,CODE30,125,CODE30
56,FILG300,DACL60,78,DACL60
56,FILG300,DEFE500,69,DEFE500
56,FILG300,GABA300,66,GABA300
56,FILG300,MORF10,96,MORF10
56,FILG300,MORF30,40,MORF30
56,FILG300,RIBA250,110,RIBA250
57,ALFA2000,ALFA4000,412,ALFA4000
57,ALFA4000,ALFA2000,428,ALFA2000
57,ALFA4000,CALC025,1441,CALC025
57,ALFA4000,SACA1005,2839,SACA1005
57,CALC025,ALFA3000,417,ALFA3000
57,CALC025,ALFA4000,1650,ALFA4000
57,CALC025,SACA1005,1483,SACA1005
57,CALC025,SEVE800,358,SEVE800
57,SACA1005,ALFA4000,1051,ALFA4000
57,SACA1005,CALC025,389,CALC025
58,ALEN10,ALEN70,15214,ALEN70
58,ALEN10,CALC025,3247,CALC025
58,ALEN10,RALO60,2906,RALO60
58,ALEN10,RISE35,2596,RISE35
58,ALEN70,CALC025,14320,CALC025
58,ALEN70,RALO60,2819,RALO60
58,CALC025,RALO60,9940,RALO60
58,CALC025,RISE35,7173,RISE35
58,RALO60,CALC025,5287,CALC025
58,RALO60,RISE35,4521,RISE35
59,ADEF10,TENO300,627,TENO300
59,ALFA25000000,TENO300,370,TENO300
59,ENTE05,ENTE10,1321,ENTE10
59,ENTE05,LAMI150,646,LAMI150
59,ENTE05,TENO300,6314,TENO300
59,ENTE10,ENTE05,370,ENTE05
59,ENTE10,TENO300,459,TENO300
59,LAMI150,ADEF10,759,ADEF10
59,LAMI150,ENTE05,576,ENTE05
59,LAMI150,TENO300,1605,TENO300
59,TENO300,ENTE05,2223,ENTE05
60,ACIT10,ACIT25,3404,ACIT25
60,ACIT10,ADAL40,544,ADAL40
60,ACIT10,CALC5030,819,CALC5030
60,ACIT25,ACIT10,3931,ACIT10
60,ACIT25,ADAL40,722,ADAL40
60,ACIT25,CALC5030,878,CALC5030
60,ACIT25,CICLOSP100,453,CICLOSP100
60,ACIT25,METO25,464,METO25
60,CALC5030,CLOB0530,1636,CLOB0530
60,CICLOSP100,CICLOSP50,839,CICLOSP50
61,LEUP1125,LEUP375,4322,LEUP375
61,LEUP1125,SOMA12,1099,SOMA12
61,LEUP1125,TRIP1125,761,TRIP1125
61,LEUP375,LEUP1125,10361,LEUP1125
61,LEUP375,SOMA12,1257,SOMA12
61,LEUP375,SOMA4,1005,SOMA4
61,LEUP375,TRIP375,3745,TRIP375
61,TRIP375,LEUP1125,1072,LEUP1125
61,TRIP375,LEUP375,2215,LEUP375
61,TRIP375,TRIP1125,430,TRIP1125
62,AZAT50,CICLOFO50,13,CICLOFO50
62,AZAT50,DANA100,20,DANA100
62,AZAT50,HIDR400,28,HIDR400
62,AZAT50,IMUN50,115,IMUN50
62,DANA100,AZAT50,22,AZAT50
62,IMUN05,IMUN50,13,IMUN50
62,IMUN25,IMUN50,20,IMUN50
62,IMUN50,AZAT50,342,AZAT50
62,IMUN50,CICLOFO50,14,CICLOFO50
62,IMUN50,CICLOSP100,42,CICLOSP100
62,IMUN50,DANA100,17,DANA100
62,IMUN50,HIDR400,39,HIDR400
62,IMUN50,IMUN25,17,IMUN25
63,CALC025,ALFA4000,203,ALFA4000
63,CALC025,SACA1005,189,SACA1005
63,CALC025,SEVE800,128,SEVE800
63,SEVE800,ALFA10000,92,ALFA10000
63,SEVE800,ALFA2000,331,ALFA2000
63,SEVE800,ALFA3000,375,ALFA3000
63,SEVE800,ALFA4000,1056,ALFA4000
63,SEVE800,CALC025,837,CALC025
63,SEVE800,CALC10,538,CALC10
63,SEVE800,SACA1005,954,SACA1005
64,AZAT50,MESA500,2272,MESA500
64,MESA1000,MESA500,3334,MESA500
64,MESA400,AZAT50,2343,AZAT50
64,MESA400,MESA500,3299,MESA500
64,MESA400,MESA800,5369,MESA800
64,MESA500,AZAT50,2921,AZAT50
64,MESA500,MESA800,4102,MESA800
64,MESA800,AZAT50,2866,AZAT50
64,MESA800,MESA400,4682,MESA400
64,MESA800,MESA500,3411,MESA500
65,IMUN05,IMUN50,34,IMUN50
65,IMUN25,IMUN50,29,IMUN50
65,IMUN50,ALFA4000,33,ALFA4000
65,IMUN50,AZAT50,151,AZAT50
65,IMUN50,GABA300,211,GABA300
65,IMUN50,GABA400,26,GABA400
65,IMUN50,IMUN05,17,IMUN05
65,IMUN50,IMUN25,29,IMUN25
65,IMUN50,IMUN60,18,IMUN60
65,IMUN50,RILU50,78,RILU50
65,IMUN50,TOXI500,20,TOXI500
66,CIPR50,ATOR10,3,ATOR10
66,CIPR50,ATOR20,5,ATOR20
66,CIPR50,AZAT50,1,AZAT50
66,CIPR50,BIMA033,1,BIMA033
66,CIPR50,BROM25,1,BROM25
66,CIPR50,BUDE200,1,BUDE200
66,CIPR50,CABE05,3,CABE05
66,CIPR50,CICLOSP100,1,CICLOSP100
66,CIPR50,CIPR100,2,CIPR100
66,CIPR50,CODE30,1,CODE30
66,CIPR50,DONE5,1,DONE5
66,CIPR50,ETAN25,1,ETAN25
66,CIPR50,ETAN50,1,ETAN50
66,CIPR50,FORM1240060,2,FORM1240060
66,CIPR50,GABA300,1,GABA300
66,CIPR50,GOSS360,3,GOSS360
66,CIPR50,INSU1003,1,INSU1003
66,CIPR50,ISOT20,7,ISOT20
66,CIPR50,LEUP1125,2,LEUP1125
66,CIPR50,LEUP375,4,LEUP375
66,CIPR50,LEVO150,1,LEVO150
66,CIPR50,LEVO25,1,LEVO25
66,CIPR50,METO25,1,METO25
66,CIPR50,METO252,1,METO252
66,CIPR50,MORF30,1,MORF30
66,CIPR50,OCTR20,1,OCTR20
66,CIPR50,OLAN10,2,OLAN10
66,CIPR50,OLAN5,1,OLAN5
66,CIPR50,QUET25,1,QUET25
66,CIPR50,RALO60,1,RALO60
66,CIPR50,RISP1,2,RISP1
66,CIPR50,RISP2,1,RISP2
66,CIPR50,SACA1005,1,SACA1005
66,CIPR50,SINV10,1,SINV10
66,CIPR50,SINV20,1,SINV20
66,CIPR50,SOMA12,1,SOMA12
66,CIPR50,TOPI25,3,TOPI25
66,CIPR50,TOXI500,2,TOXI500
66,CIPR50,VIGA500,1,VIGA500
66,CIPR50,ZIPR80,1,ZIPR80
67,SOMA12,ADAL40,1,ADAL40
67,SOMA12,ALFA2000,1,ALFA2000
67,SOMA12,CALC5030,1,CALC5030
67,SOMA12,ETAN25,1,ETAN25
67,SOMA12,ETAN50,1,ETAN50
67,SOMA12,FORM12400,1,FORM12400
67,SOMA12,FORM620060,1,FORM620060
67,SOMA12,IMUN50,1,IMUN50
67,SOMA12,LEUP1125,4,LEUP1125
67,SOMA12,LEUP375,6,LEUP375
67,SOMA12,MESA500,1,MESA500
67,SOMA12,MESA800,1,MESA800
67,SOMA12,OLAN10,2,OLAN10
67,SOMA12,QUET25,1,QUET25
67,SOMA12,RISP1,2,RISP1
67,SOMA12,RISP2,1,RISP2
67,SOMA12,RISP3,1,RISP3
67,SOMA12,SOMA4,346,SOMA4
67,SOMA12,TOPI25,1,TOPI25
67,SOMA12,TOXI500,2,TOXI500
67,SOMA12,TRIP375,2,TRIP375
67,SOMA4,ALEN70,1,ALEN70
67,SOMA4,ALFA4000,1,ALFA4000
67,SOMA4,AZAT50,3,AZAT50
67,SOMA4,BECL250200,1,BECL250200
67,SOMA4,CALC025,3,CALC025
67,SOMA4,CIPR100,2,CIPR100
67,SOMA4,CIPR50,1,CIPR50
67,SOMA4,DEFE500,1,DEFE500
67,SOMA4,ETAN25,1,ETAN25
67,SOMA4,FORM1240060,1,FORM1240060
67,SOMA4,IMUN50,1,IMUN50
67,SOMA4,LEUP1125,5,LEUP1125
67,SOMA4,LEUP375,10,LEUP375
67,SOMA4,LEVO150,1,LEVO150
67,SOMA4,LEVO25,1,LEVO25
67,SOMA4,LEVO50,1,LEVO50
67,SOMA4,MESA500,1,MESA500
67,SOMA4,MESA800,1,MESA800
67,SOMA4,OLAN5,1,OLAN5
67,SOMA4,QUET100,1,QUET100
67,SOMA4,RISP1,1,RISP1
67,SOMA4,RISP2,1,RISP2
67,SOMA4,SINV20,1,SINV20
67,SOMA4,SOMA12,734,SOMA12
67,SOMA4,TOPI25,2,TOPI25
67,SOMA4,TOPI50,2,TOPI50
67,SOMA4,TRIP375,1,TRIP375
68,CICLOSP100,ALFA4000,217,ALFA4000
68,CICLOSP100,CICLOSP25,1345,CICLOSP25
68,CICLOSP100,CICLOSP50,2371,CICLOSP50
68,CICLOSP10050,CICLOSP100,207,CICLOSP100
68,CICLOSP10050,CICLOSP50,196,CICLOSP50
68,CICLOSP25,CICLOSP100,401,CICLOSP100
68,CICLOSP25,CICLOSP50,1703,CICLOSP50
68,CICLOSP50,ALFA4000,299,ALFA4000
68,CICLOSP50,CICLOSP100,888,CICLOSP100
68,CICLOSP50,CICLOSP25,1205,CICLOSP25
69,CLOP75,ALFA4000,341,ALFA4000
69,CLOP75,ATOR10,707,ATOR10
69,CLOP75,ATOR20,6247,ATOR20
69,CLOP75,ATOR40,9006,ATOR40
69,CLOP75,ATOR80,1801,ATOR80
69,CLOP75,CIPR100,740,CIPR100
69,CLOP75,FORM12400,223,FORM12400
69,CLOP75,FORM1240060,637,FORM1240060
69,CLOP75,GABA300,360,GABA300
69,CLOP75,QUET25,217,QUET25
70,DEFE125,DEFE250,269,DEFE250
70,DEFE125,DEFE500,230,DEFE500
70,DEFE250,DEFE500,1265,DEFE500
70,DEFE250,HIDR500,308,HIDR500
70,DEFE500,DEFE125,224,DEFE125
70,DEFE500,DEFE250,1010,DEFE250
70,DEFE500,DESF500,199,DESF500
70,DEFE500,HIDR500,1110,HIDR500
70,DESF500,DEFE500,458,DEFE500
70,DESF500,HIDR500,171,HIDR500
71,AZAT50,CICLOSP100,146,CICLOSP100
71,CICLOSP100,CICLOSP25,588,CICLOSP25
71,CICLOSP100,CICLOSP50,254,CICLOSP50
71,CICLOSP100,MICO360,244,MICO360
71,CICLOSP100,MICO500,216,MICO500
71,CICLOSP25,CICLOSP50,498,CICLOSP50
71,CICLOSP25,MICO360,179,MICO360
71,CICLOSP50,CICLOSP100,185,CICLOSP100
71,CICLOSP50,MICO360,284,MICO360
71,CICLOSP50,MICO500,159,MICO500
72,AZAT50,CICLOSP100,1,CICLOSP100
72,AZAT50,METO25,1,METO25
72,CICLOSP100,CICLOSP25,1,CICLOSP25
72,CICLOSP100,CICLOSP50,3,CICLOSP50
72,CICLOSP25,AZAT50,1,AZAT50
72,CICLOSP25,CICLOSP50,1,CICLOSP50
72,CICLOSP25,SOMA4,1,SOMA4
72,CICLOSP50,AZAT50,1,AZAT50
72,CICLOSP50,MICO500,1,MICO500
72,METI500,CICLOSP100,1,CICLOSP100
72,METI500,METO25,1,METO25
73,CICLOSP100,CICLOSP25,1924,CICLOSP25
73,CICLOSP100,CICLOSP50,1321,CICLOSP50
73,CICLOSP10050,CICLOSP100,69,CICLOSP100
73,CICLOSP10050,IMUN50,84,IMUN50
73,CICLOSP25,CICLOSP100,131,CICLOSP100
73,CICLOSP25,CICLOSP50,2104,CICLOSP50
73,CICLOSP50,CICLOSP100,356,CICLOSP100
73,CICLOSP50,CICLOSP10050,54,CICLOSP10050
73,CICLOSP50,CICLOSP25,484,CICLOSP25
73,CICLOSP50,IMUN50,133,IMUN50
74,AZAT50,CICLOSP100,91,CICLOSP100
74,AZAT50,CICLOSP25,58,CICLOSP25
74,AZAT50,CICLOSP50,39,CICLOSP50
74,CICLOSP100,AZAT50,81,AZAT50
74,CICLOSP100,CICLOSP25,152,CICLOSP25
74,CICLOSP100,CICLOSP50,61,CICLOSP50
74,CICLOSP25,AZAT50,36,AZAT50
74,CICLOSP25,CICLOSP50,119,CICLOSP50
74,CICLOSP50,AZAT50,60,AZAT50
74,CICLOSP50,CICLOSP100,28,CICLOSP100
75,MICO180,TACR1,701,TACR1
75,MICO360,TACR1,5852,TACR1
75,MICO360,TACR5,531,TACR5
75,MICO500,TACR1,1437,TACR1
75,TACR1,DACL60,629,DACL60
75,TACR1,MICO180,634,MICO180
75,TACR1,MICO360,1525,MICO360
75,TACR1,TACR5,1526,TACR5
75,TACR5,MICO360,1834,MICO360
75,TACR5,TACR1,1775,TACR1
76,AZAT50,CICLOSP100,2420,CICLOSP100
76,AZAT50,TACR1,4920,TACR1
76,CICLOSP100,CICLOSP50,2453,CICLOSP50
76,CICLOSP25,CICLOSP50,4788,CICLOSP50
76,MICO180,MICO360,3327,MICO360
76,MICO360,TACR1,18285,TACR1
76,MICO500,TACR1,4806,TACR1
76,TACR1,MICO360,4336,MICO360
76,TACR1,TACR5,3494,TACR5
76,TACR5,MICO360,5416,MICO360
77,LAMO100,QUET100,1058,QUET100
77,LAMO100,QUET200,516,QUET200
77,OLAN10,OLAN5,1471,OLAN5
77,OLAN5,OLAN10,683,OLAN10
77,QUET100,LAMO100,407,LAMO100
77,QUET100,QUET200,2933,QUET200
77,QUET100,QUET25,1184,QUET25
77,QUET200,QUET100,810,QUET100
77,QUET25,QUET100,970,QUET100
77,RISP1,RISP2,455,RISP2
78,CLOZ100,CLOZ25,56,CLOZ25
78,OLAN10,OLAN5,527,OLAN5
78,OLAN10,QUET100,56,QUET100
78,OLAN5,OLAN10,241,OLAN10
78,QUET100,QUET200,529,QUET200
78,QUET100,QUET25,179,QUET25
78,QUET200,QUET100,163,QUET100
78,QUET25,QUET100,235,QUET100
78,RISP1,RISP2,144,RISP2
78,RISP2,RISP1,55,RISP1
78,ZIPR40,ZIPR80,82,ZIPR80
79,AZAT50,ADAL40,54,ADAL40
79,AZAT50,CICLOSP100,150,CICLOSP100
79,AZAT50,CICLOSP50,102,CICLOSP50
79,CICLOSP100,AZAT50,133,AZAT50
79,CICLOSP100,CICLOSP25,95,CICLOSP25
79,CICLOSP100,CICLOSP50,303,CICLOSP50
79,CICLOSP25,CICLOSP50,87,CICLOSP50
79,CICLOSP50,AZAT50,96,AZAT50
79,CICLOSP50,CICLOSP100,143,CICLOSP100
79,CICLOSP50,CICLOSP25,76,CICLOSP25
80,SACA1005,ALFA025,60,ALFA025
80,SACA1005,ALFA2000,236,ALFA2000
80,SACA1005,ALFA3000,249,ALFA3000
80,SACA1005,ALFA4000,1089,ALFA4000
80,SACA1005,ATOR10,82,ATOR10
80,SACA1005,ATOR20,77,ATOR20
80,SACA1005,AZAT50,104,AZAT50
80,SACA1005,CALC025,498,CALC025
80,SACA1005,CALC10,187,CALC10
80,SACA1005,SEVE800,965,SEVE800
81,ALFA4000,CALC025,4,CALC025
81,ALFA4000,SACA1005,13,SACA1005
81,CALC025,ALFA4000,5,ALFA4000
81,CALC025,SACA1005,5,SACA1005
81,INSU1003,ALFA4000,12,ALFA4000
81,INSU1003,ATOR10,7,ATOR10
81,INSU1003,ATOR20,37,ATOR20
81,INSU1003,ATOR40,7,ATOR40
81,INSU1003,AZAT50,3,AZAT50
81,INSU1003,BRIM205,4,BRIM205
81,INSU1003,CALC025,4,CALC025
81,INSU1003,CIPR100,3,CIPR100
81,INSU1003,DORZ205,13,DORZ205
81,INSU1003,HIDR400,4,HIDR400
81,INSU1003,LATA00525,6,LATA00525
81,INSU1003,METO25,3,METO25
81,INSU1003,QUET100,3,QUET100
81,INSU1003,QUET25,3,QUET25
81,INSU1003,RISP1,3,RISP1
81,INSU1003,SACA1005,9,SACA1005
81,INSU1003,SEVE800,4,SEVE800
81,INSU1003,TIMO505,11,TIMO505
82,LARO0585,LARO0585,9,LARO0585
83,IDUR23,IDUR23,3,IDUR23
84,SOMA12,ISOT20,203,ISOT20
84,SOMA12,LEUP1125,748,LEUP1125
84,SOMA12,LEUP375,819,LEUP375
84,SOMA12,SOMA4,11829,SOMA4
84,SOMA12,TRIP375,166,TRIP375
84,SOMA4,DESM0125,218,DESM0125
84,SOMA4,LEUP1125,436,LEUP1125
84,SOMA4,LEUP375,727,LEUP375
84,SOMA4,SOMA12,13942,SOMA12
84,SOMA4,TRIP375,181,TRIP375
85,LEVO100,ATOR20,713,ATOR20
85,LEVO100,LEVO25,1548,LEVO25
85,LEVO100,LEVO50,719,LEVO50
85,LEVO100,SINV20,650,SINV20
85,LEVO25,ATOR20,924,ATOR20
85,LEVO25,LEVO100,741,LEVO100
85,LEVO25,LEVO50,1796,LEVO50
85,LEVO25,SINV20,645,SINV20
85,LEVO50,LEVO100,772,LEVO100
85,LEVO50,LEVO25,779,LEVO25
86,DONE10,DONE5,11815,DONE5
86,DONE10,QUET25,6161,QUET25
86,DONE5,DONE10,43690,DONE10
86,DONE5,QUET25,4403,QUET25
86,GALA16,GALA24,17259,GALA24
86,GALA8,GALA16,20979,GALA16
86,RIVA15,RIVA3,31007,RIVA3
86,RIVA3,RIVA45,21940,RIVA45
86,RIVA3,RIVA6,4086,RIVA6
86,RIVA45,RIVA6,14223,RIVA6
87,BIMA033,BRIM205,14530,BRIM205
87,BIMA033,TIMO505,13902,TIMO505
87,BRIM205,DORZ205,20101,DORZ205
87,BRIM205,TIMO505,28098,TIMO505
87,BRIN105,TIMO505,12230,TIMO505
87,DORZ205,LATA00525,10200,LATA00525
87,DORZ205,TIMO505,35010,TIMO505
87,LATA00525,TIMO505,28468,TIMO505
87,TIMO505,BRIM205,8337,BRIM205
87,TIMO505,TRAV00425,47080,TRAV00425
